congue diam id;1;70940.338
convallis morbi odio;1;21032.673
cubilia curae mauris;1;54311.691
dapibus;1;84890.066
donec;1;4693.048
eu nibh;1;22937.903
faucibus orci luctus;1;41534.953
gravida sem;1;35057.617
in blandit;1;35956.853
in est;1;47411.324
integer ac;1;76236.492
justo etiam pretium;1;72712.065
lorem vitae mattis;1;34329.77
luctus et ultrices;1;92729.894
mauris eget;1;65831.368
morbi;1;33598.331
nisl nunc;1;91570.268
nisl nunc;1;91570.268
non;1;43350.6
non;1;43350.6
non;1;43350.6
nonummy;1;1969.051
nulla dapibus dolor;1;97696.651
odio;1;84206.425
odio;1;95608.771
porttitor id consequat;1;97363.297
posuere;1;11689.427
posuere;1;11689.427
posuere;1;23573.133
quam a;1;36971.199
quam turpis;1;3410.563
risus;1;61729.658
rutrum;1;30267.274
tincidunt ante vel;1;80999.03
tincidunt nulla;1;74797.69
ultrices;1;54658.666
ut;1;21659.288
vitae quam suspendisse;1;91580.302
